date,open,high,low,close,volume
2025-03-25,30.9,31.2,30.55,30.6,340999
2025-03-26,30.65,31.0,30.65,30.85,172924
2025-03-27,30.55,30.7,30.05,30.15,667037
2025-03-28,30.15,30.15,29.4,29.6,776556
2025-03-31,29.1,29.1,28.4,28.45,836419
2025-04-01,28.5,29.2,28.45,29.0,348907
2025-04-02,29.0,29.15,28.75,29.05,148751
2025-04-07,26.15,26.15,26.15,26.15,151361
2025-04-08,23.65,24.45,23.55,23.75,1753103
2025-04-09,23.0,23.5,21.4,21.55,2079508
2025-04-10,23.7,23.7,23.7,23.7,242666
2025-04-11,23.7,24.55,22.7,24.55,814276
2025-04-14,25.2,26.0,25.0,25.25,755288
2025-04-15,25.45,26.6,25.45,26.55,548630
2025-04-16,26.45,26.5,25.85,25.85,326049
2025-04-17,25.35,26.0,25.3,25.85,226041
2025-04-18,26.1,26.3,25.85,25.95,212081
2025-04-21,26.25,26.3,25.1,25.9,247364
2025-04-22,25.2,26.0,25.2,25.6,331449
2025-04-23,25.75,26.2,25.75,26.05,322322
2025-04-24,26.2,26.35,25.85,26.0,225732
2025-04-25,26.2,26.6,26.2,26.3,257175
2025-04-28,26.3,26.9,26.3,26.85,361869
2025-04-29,26.6,27.3,26.6,27.3,270237
2025-04-30,27.0,27.2,26.65,26.75,345223
2025-05-02,27.0,27.6,27.0,27.3,287488
2025-05-05,27.3,27.35,25.95,26.35,395220
2025-05-06,26.4,26.9,26.4,26.85,160959
2025-05-07,26.85,27.0,26.65,26.75,165973
2025-05-08,27.0,27.2,26.95,27.1,178324
2025-05-09,26.9,27.75,26.9,27.55,314260
2025-05-12,27.65,28.2,27.6,28.15,259629
2025-05-13,28.8,28.8,28.15,28.2,358391
2025-05-14,28.25,28.55,28.1,28.4,260076
2025-05-15,29.05,29.45,28.75,29.1,620942
2025-05-16,29.5,29.5,28.95,29.05,228948
2025-05-19,29.15,29.15,28.1,28.2,332939
2025-05-20,28.5,28.5,28.15,28.2,167931
2025-05-21,28.5,28.75,28.4,28.65,147344
2025-05-22,28.5,28.5,28.15,28.2,218720
2025-05-23,28.25,29.15,28.25,28.35,270519
2025-05-26,28.25,28.55,28.2,28.25,159734
2025-05-27,28.35,28.65,28.2,28.35,184084
2025-05-28,28.4,30.25,28.4,29.45,1732287
2025-05-29,29.6,29.75,28.7,28.95,559718
2025-06-02,28.65,28.75,28.3,28.4,246919
2025-06-03,28.55,28.75,28.3,28.4,180140
2025-06-04,28.5,29.4,28.5,28.85,271955
2025-06-05,28.85,29.1,28.75,28.85,175007
2025-06-06,28.9,29.3,28.7,28.85,258363
2025-06-09,29.25,29.45,28.85,29.3,329022
2025-06-10,29.25,30.05,29.2,29.8,590629
2025-06-11,29.95,31.75,29.65,31.35,2318678
2025-06-12,31.5,31.95,31.25,31.7,1505554
2025-06-13,31.7,32.4,31.3,32.2,1794993
2025-06-16,32.1,33.25,31.85,32.9,1471018
2025-06-17,33.0,34.1,32.9,33.95,2273722
2025-06-18,34.35,35.4,34.2,35.0,3518134
2025-06-19,35.0,35.2,34.4,35.0,1925293
2025-06-20,34.65,35.65,34.6,35.0,2132711
2025-06-23,34.3,38.2,34.15,36.35,12290760
2025-06-24,37.9,39.95,36.65,39.25,17700211
2025-06-25,40.4,43.0,39.8,40.6,26061735
2025-06-26,41.6,42.2,41.0,41.65,14609009
2025-06-27,42.05,42.5,39.7,41.85,11976761
2025-06-30,41.7,46.0,41.1,45.7,24414339
2025-07-01,46.0,46.35,43.6,43.85,19003941
2025-07-02,44.75,47.7,44.3,46.75,33463430
2025-07-03,46.6,48.3,45.65,46.9,32723216
2025-07-04,47.7,50.9,47.45,49.75,37196328
2025-07-07,50.0,50.4,47.5,48.85,22116631
2025-07-08,48.1,50.3,47.7,50.0,30543249
2025-07-09,49.9,53.3,49.4,53.3,43191447
2025-07-10,53.6,55.5,52.8,54.1,54085489
2025-07-11,54.1,54.4,51.8,53.3,27533709
2025-07-14,53.3,54.0,52.0,52.6,13006249
2025-07-15,53.5,54.5,51.1,52.6,27017143
2025-07-16,52.9,56.5,51.3,51.9,50184542
2025-07-17,51.9,52.3,49.2,50.3,29475050
2025-07-18,51.1,54.1,50.5,53.4,35308104
2025-07-21,53.5,54.2,51.3,52.0,22247073
2025-07-22,51.9,54.2,49.6,49.75,31605589
2025-07-23,50.7,52.1,50.0,50.7,13323850
2025-07-24,51.2,54.1,50.5,53.0,23673990
2025-07-25,52.6,53.1,51.5,52.5,12209035
2025-07-28,54.0,57.7,54.0,57.7,44921828
2025-07-29,58.7,62.0,58.0,58.8,84577876
2025-07-30,58.9,59.8,57.0,57.5,32460856
2025-07-31,57.8,63.2,56.8,63.2,46907030
2025-08-01,61.9,69.0,61.8,66.0,103394657
2025-08-04,66.0,72.0,64.6,69.1,82309795
2025-08-05,69.8,71.1,67.5,68.1,46280836
2025-08-06,68.0,74.0,67.5,71.0,51515120
2025-08-07,72.8,78.1,72.4,78.1,51524807
2025-08-08,80.2,83.9,78.8,82.6,118202213
2025-08-11,81.0,82.0,78.5,81.5,10933317
2025-08-12,82.3,84.9,82.0,84.0,7936714
2025-08-13,86.5,92.0,85.0,88.0,10560367
2025-08-14,91.0,93.1,90.4,92.0,6010205
2025-08-15,92.7,92.9,88.6,92.0,6233192
2025-08-18,92.1,101.0,90.6,101.0,10125809
2025-08-19,104.0,105.0,91.0,93.4,10052427
2025-08-20,88.0,92.5,84.1,89.2,10872344
